Using device: cpu
gc-1.5-stop-worker-expl
Goal, Curr: (-0.79,  1.06), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: ( -3.38,  -0.90), ( -1.40,  -0.60)  SG Improvement:0.00012 

Goal, Curr: (-0.89,  0.77), ( -1.40,  -0.60)   Error: 1.46
Last SG, Last State: ( -3.39,  -0.78), ( -1.40,  -0.60)  SG Improvement:0.00004 

Goal, Curr: (-0.93,  0.77), ( -1.40,  -0.60)   Error: 1.45
Last SG, Last State: ( -3.39,  -0.76), ( -1.40,  -0.60)  SG Improvement:0.00006 

Goal, Curr: (-1.13,  0.96), ( -1.40,  -0.60)   Error: 1.59
Last SG, Last State: ( -3.39,  -0.77), ( -1.40,  -0.60)  SG Improvement:0.00004 

Goal, Curr: (-0.84,  0.83), ( -1.40,  -0.60)   Error: 1.54
Last SG, Last State: ( -3.38,  -0.81), ( -1.40,  -0.60)  SG Improvement:0.00010 

Goal, Curr: (-1.15,  1.11), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: ( -3.39,  -0.82), ( -1.40,  -0.60)  SG Improvement:0.00008 

Goal, Curr: (-1.16,  0.99), ( -1.40,  -0.60)   Error: 1.61
Last SG, Last State: ( -3.39,  -0.77), ( -1.40,  -0.60)  SG Improvement:0.00005 

Goal, Curr: (-1.01,  1.01), ( -1.40,  -0.60)   Error: 1.66
Last SG, Last State: ( -3.39,  -0.81), ( -1.40,  -0.60)  SG Improvement:0.00007 

Goal, Curr: (-1.05,  0.79), ( -1.40,  -0.60)   Error: 1.44
Last SG, Last State: ( -3.39,  -0.74), ( -1.40,  -0.60)  SG Improvement:0.00003 

Goal, Curr: (-0.80,  0.94), ( -1.40,  -0.60)   Error: 1.65
Last SG, Last State: ( -3.38,  -0.86), ( -1.40,  -0.60)  SG Improvement:0.00009 

episode:00100, mean:-502.64, std:43.56, median:-499.48, success:0.00
Goal, Curr: (-0.97,  1.01), ( -1.28,  -0.91)   Error: 1.94
Last SG, Last State: ( -3.24,   1.09), ( -1.28,  -0.91)  SG Improvement:0.00000 

Goal, Curr: (-1.13,  1.21), ( -0.99,  -1.12)   Error: 2.33
Last SG, Last State: ( -2.97,   0.88), ( -0.99,  -1.12)  SG Improvement:-0.00000 

Goal, Curr: (-0.90,  0.89), ( -1.37,  -0.99)   Error: 1.93
Last SG, Last State: ( -3.34,   1.01), ( -1.37,  -0.99)  SG Improvement:0.00000 

Goal, Curr: (-0.91,  1.18), ( -1.11,  -1.06)   Error: 2.26
Last SG, Last State: ( -3.08,   0.94), ( -1.11,  -1.06)  SG Improvement:-0.00000 

Goal, Curr: (-0.78,  1.05), ( -1.07,  -1.27)   Error: 2.34
Last SG, Last State: ( -3.05,   0.73), ( -1.07,  -1.27)  SG Improvement:0.00000 

Goal, Curr: (-1.12,  0.77), ( -1.30,  -1.06)   Error: 1.84
Last SG, Last State: ( -3.28,   0.94), ( -1.30,  -1.06)  SG Improvement:-0.00000 

Goal, Curr: (-1.14,  0.92), ( -1.40,  -0.60)   Error: 1.54
Last SG, Last State: ( -3.37,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00002 

Goal, Curr: (-1.11,  1.14), ( -1.20,  -1.03)   Error: 2.18
